Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,
KEN,Kenon Holdings Ltd.,18,968881482,n/a,2015,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/ken,
KDP,Keurig Dr Pepper Inc.,26.45,36742001767.1,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/kdp,
KEG,"Key Energy Services, Inc.",5.4,109320543,n/a,2016,Energy,Oilfield Services/Equipment,https://www.nasdaq.com/symbol/keg,
KEY,KeyCorp,17.45,18052555863.9,n/a,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/key,
KEY^I,KeyCorp,25.04,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/key^i,
KEY^J,KeyCorp,22.92,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/key^j,
KEYS,Keysight Technologies Inc.,60.98,11378868000,n/a,2014,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/keys,
KRC,Kilroy Realty Corporation,69.09,6960609400.92,n/a,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/krc,
KRP,Kimbell Royalty Partners,18.01,545513210.62,n/a,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/krp,
KMB,Kimberly-Clark Corporation,112.51,38962315946.65,n/a,n/a,Consumer Durables,Containers/Packaging,https://www.nasdaq.com/symbol/kmb,
KIM,Kimco Realty Corporation,16.21,6830753054.05,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/kim,
KIM^I,Kimco Realty Corporation,23.67,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^i,
KIM^J,Kimco Realty Corporation,20.72,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^j,
KIM^K,Kimco Realty Corporation,21.56,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^k,
KIM^L,Kimco Realty Corporation,19.48,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^l,
KIM^M,Kimco Realty Corporation,19.88,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kim^m,
KMI,"Kinder Morgan, Inc.",16.68,36813065027.16,n/a,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/kmi,
KFS,"Kingsway Financial Services, Inc.",2.24,50131598.72,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/kfs,
KGC,Kinross Gold Corporation,2.8,3500640698.8,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kgc,
KEX,Kirby Corporation,75.78,4536645480,n/a,n/a,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/kex,
KL,Kirkland Lake Gold Ltd.,22.07,4631547565.34,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/kl,
KRG,Kite Realty Group Trust,16.05,1343621143.65,n/a,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/krg,
KKR,KKR & Co. Inc.,22.2,18476795598,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/kkr,
KKR^A,KKR & Co. Inc.,25.47,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kkr^a,
KKR^B,KKR & Co. Inc.,25.49,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kkr^b,
KIO,KKR Income Opportunities Fund,15.24,309986400.6,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/kio,
KREF,KKR Real Estate Finance Trust Inc.,19.57,1135502086.3,n/a,2017,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/kref,
KNX,"Knight Transportation, Inc.",30.61,5342655472.45,n/a,2017,Transportation,Trucking Freight/Courier Services,https://www.nasdaq.com/symbol/knx,
KNL,"Knoll, Inc.",18.56,917215155.2,n/a,2004,Consumer Durables,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/knl,
KNOP,KNOT Offshore Partners LP,20.18,659766816.92,n/a,2013,Consumer Services,Marine Transportation,https://www.nasdaq.com/symbol/knop,
KN,Knowles Corporation,14.52,1309765361.52,n/a,2014,Consumer Non-Durables,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/kn,
KSS,Kohl&#39;s Corporation,64.9,10819663510.7,n/a,1992,Consumer Services,Department/Specialty Retail Stores,https://www.nasdaq.com/symbol/kss,
PHG,Koninklijke Philips N.V.,37.84,35249473600,n/a,n/a,Energy,Consumer Electronics/Appliances,https://www.nasdaq.com/symbol/phg,
KOP,Koppers Holdings Inc.,18.75,384530906.25,n/a,2006,Basic Industries,Forest Products,https://www.nasdaq.com/symbol/kop,
KEP,Korea Electric Power Corporation,13.61,17474262175.94,n/a,1994,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/kep,
KF,"Korea Fund, Inc. (The)",33.6675,180558903.5025,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/kf,
KFY,Korn/Ferry International,45.23,2575421574.03,n/a,1999,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/kfy,
KOS,Kosmos Energy Ltd.,5.24,2272154662.48,n/a,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/kos,
KRA,Kraton Corporation,24.39,779433473.88,n/a,2009,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kra,
KR,Kroger Company (The),28.64,22838072369.92,n/a,n/a,Consumer Services,Food Chains,https://www.nasdaq.com/symbol/kr,
KRO,Kronos Worldwide Inc,11.99,1389733299.02,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/kro,
KT,KT Corporation,14.94,7324925667.84,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/kt,
LB,"L Brands, Inc.",33.02,9082594557.66,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/lb,
SCX,L.S. Starrett Company (The),4.9488,34755749.0208,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/scx,
LLL,"L3 Technologies, Inc.",178.27,14029412416.77,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,https://www.nasdaq.com/symbol/lll,
LH,Laboratory Corporation of America Holdings,143.33,14461997000,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/lh,
LADR,Ladder Capital Corp,17.53,2052049844.54,n/a,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ladr,
LAIX,LAIX Inc.,8.83,0,n/a,2018,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/laix,
LW,"Lamb Weston Holdings, Inc.",75.49,11055860396.15,n/a,2016,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/lw,
LCI,Lannett Co Inc,5.49,213850608.48,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/lci,
LPI,"Laredo Petroleum, Inc.",4.75,1110939595,n/a,2011,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/lpi,
LVS,Las Vegas Sands Corp.,55.57,43542111172.89,n/a,2004,Consumer Services,Hotels/Resorts,https://www.nasdaq.com/symbol/lvs,
LTM,LATAM Airlines Group S.A.,10.21,6191422545.53,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/ltm,
LGI,Lazard Global Total Return and Income Fund,15.98,153491687.26,n/a,2004,n/a,n/a,https://www.nasdaq.com/symbol/lgi,
LAZ,Lazard Ltd.,37.13,4384012543.14,n/a,2005,Finance,Investment Managers,https://www.nasdaq.com/symbol/laz,
LOR,"Lazard World Dividend & Income Fund, Inc.",9.22,63435287.26,n/a,2005,n/a,n/a,https://www.nasdaq.com/symbol/lor,
LZB,La-Z-Boy Incorporated,27.68,1296350449.6,n/a,n/a,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/lzb,
LCII,LCI Industries ,72.21,1820964340.2,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/lcii,
LEAF,Leaf Group Ltd.,8.12,205551848.04,n/a,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/leaf,
LEA,Lear Corporation,136.18,8739197344.24,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/lea,
LEE,"Lee Enterprises, Incorporated",2.19,125004275.82,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/lee,
LGC,Legacy Acquisition Corp.,9.8,85536458,n/a,2017,Finance,Business Services,https://www.nasdaq.com/symbol/lgc,
LGC.U,Legacy Acquisition Corp.,n/a,0,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/lgc.u,
LGC.WS,Legacy Acquisition Corp.,n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/lgc.ws,
LM,"Legg Mason, Inc.",27.65,2364860342.95,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/lm,
